COG,departement,commune,population,Pop_in_QPV_pct,Total_QPV,logements_sociaux_pct,Subventions_parHab,places_migrants_p1k,Total_places_migrants,Number_of_Mosques,Mosque_p100k,Insécurité_Score,Immigration_Score,Islamisation_Score,Défrancisation_Score,Wokisme_Score
22277,22,Saint-Brandan,2285,0.0,0,1.0,57.6,0.0,0,0,0.0,36,32,17,66,35
22278,22,Saint-Brieuc,44607,16.31,3,21.0,137.8,0.67,30,1,2.24,342,199,115,120,177
22279,22,Saint-Caradec,1132,0.0,0,5.0,0.0,0.0,0,0,0.0,39,32,17,66,20
22280,22,Saint-Carné,1140,0.0,0,6.0,26.6,0.0,0,0,0.0,34,32,17,66,31
22281,22,Saint-Carreuc,1554,0.0,0,1.0,23.2,0.0,0,0,0.0,35,32,17,66,23
22282,22,Saint-Cast-le-Guildo,3353,0.0,0,3.0,77.6,0.0,0,0,0.0,102,65,17,102,80
22283,22,Saint-Clet,868,0.0,0,6.0,17.9,0.0,0,0,0.0,33,32,17,66,28
22284,22,Saint-Connan,297,0.0,0,0.0,92.1,0.0,0,0,0.0,31,32,17,66,46
22285,22,Saint-Connec,258,0.0,0,2.0,7.0,0.0,0,0,0.0,22,32,17,66,19
22286,22,Saint-Denoual,490,0.0,0,3.0,78.9,0.0,0,0,0.0,33,32,17,66,45
22287,22,Saint-Donan,1467,0.0,0,4.0,15.9,0.0,0,0,0.0,30,32,17,66,24
22288,22,Saint-Étienne-du-Gué-de-l'Isle,372,0.0,0,5.0,0.0,0.0,0,0,0.0,30,32,17,66,20
22289,22,Saint-Fiacre,212,0.0,0,0.0,20.2,0.0,0,0,0.0,23,32,17,66,21
22291,22,Saint-Gildas,242,0.0,0,0.0,15.9,0.0,0,0,0.0,28,32,17,66,19
22293,22,Saint-Gilles-les-Bois,389,0.0,0,1.0,20.3,0.0,0,0,0.0,32,32,17,66,22
22294,22,Saint-Gilles-Pligeaux,304,0.0,0,2.0,92.1,0.0,0,0,0.0,23,32,17,66,48
22295,22,Saint-Gilles-Vieux-Marché,315,0.0,0,1.0,0.0,0.0,0,0,0.0,29,32,17,66,15
22296,22,Saint-Glen,667,0.0,0,3.0,15.7,0.0,0,0,0.0,34,32,17,66,23
22299,22,Saint-Hélen,1535,0.0,0,7.0,26.6,0.0,0,0,0.0,34,32,17,66,32
22300,22,Saint-Hervé,413,0.0,0,2.0,0.0,0.0,0,0,0.0,47,32,17,66,16
22302,22,Saint-Jacut-de-la-Mer,909,0.0,0,5.0,26.6,0.0,0,0,0.0,196,32,17,66,29
22304,22,Saint-Jean-Kerdaniel,691,0.0,0,0.0,20.3,0.0,0,0,0.0,30,32,17,66,21
22305,22,Saint-Jouan-de-l'Isle,456,0.0,0,2.0,26.6,0.0,0,0,0.0,32,32,17,66,25
22306,22,Saint-Judoce,590,0.0,0,0.0,26.6,0.0,0,0,0.0,29,32,17,66,23
22307,22,Saint-Julien,2072,0.0,0,6.0,25.4,0.0,0,0,0.0,37,32,17,66,30
22308,22,Saint-Juvat,649,0.0,0,3.0,26.6,0.0,0,0,0.0,33,32,17,66,27
22309,22,Saint-Launeuc,190,0.0,0,2.0,0.0,0.0,0,0,0.0,29,32,17,66,16
22310,22,Saint-Laurent,533,0.0,0,1.0,17.9,0.0,0,0,0.0,28,32,17,66,21
22311,22,Saint-Lormel,883,0.0,0,7.0,26.6,0.0,0,0,0.0,33,32,17,66,32
22312,22,Saint-Maden,220,0.0,0,0.0,26.6,0.0,0,0,0.0,25,32,17,66,23
22313,22,Saint-Martin-des-Prés,321,0.0,0,0.0,0.0,0.0,0,0,0.0,420,32,517,436,14
22314,22,Saint-Maudan,399,0.0,0,8.0,0.0,0.0,0,0,0.0,28,32,17,66,24
22315,22,Saint-Maudez,285,0.0,0,0.0,26.6,0.0,0,0,0.0,30,32,17,66,23
22316,22,Saint-Mayeux,460,0.0,0,6.0,0.0,0.0,0,0,0.0,34,32,17,66,22
22317,22,Saint-Méloir-des-Bois,272,0.0,0,0.0,26.6,0.0,0,0,0.0,27,32,17,66,23
22318,22,Saint-Michel-de-Plélan,320,0.0,0,0.0,26.6,0.0,0,0,0.0,26,32,17,66,23
22319,22,Saint-Michel-en-Grève,447,0.0,0,0.0,19.9,0.0,0,0,0.0,34,32,17,66,20
22320,22,Saint-Nicodème,168,0.0,0,0.0,17.9,0.0,0,0,0.0,28,32,17,66,20
22321,22,Saint-Nicolas-du-Pélem,1536,0.0,0,2.0,92.1,0.0,0,0,0.0,45,32,17,66,48
22322,22,Saint-Péver,388,0.0,0,0.0,20.3,0.0,0,0,0.0,27,32,17,66,21
22323,22,Saint-Pôtan,833,0.0,0,1.0,26.6,0.0,0,0,0.0,32,32,17,66,24
22324,22,Saint-Quay-Perros,1289,0.0,0,3.0,19.9,0.0,0,0,0.0,37,32,17,66,24
22325,22,Saint-Quay-Portrieux,3253,0.0,0,9.0,68.7,0.0,0,0,0.0,88,32,17,66,49
22326,22,Saint-Rieul,548,0.0,0,9.0,32.9,0.0,0,0,0.0,35,32,17,66,37
22327,22,Saint-Samson-sur-Rance,1630,0.0,0,11.0,26.6,0.0,0,0,0.0,37,32,17,66,37
22328,22,Saint-Servais,427,0.0,0,0.0,17.9,0.0,0,0,0.0,26,32,17,66,20
22330,22,Saint-Thélo,377,0.0,0,3.0,0.0,0.0,0,0,0.0,32,32,17,66,18
22331,22,Sainte-Tréphine,187,0.0,0,0.0,92.1,0.0,0,0,0.0,25,32,17,66,46
22332,22,Saint-Trimoël,521,0.0,0,2.0,15.2,0.0,0,0,0.0,29,32,17,66,22
22333,22,Saint-Vran,755,0.0,0,3.0,0.0,0.0,0,0,0.0,33,32,17,66,18
22334,22,Saint-Igeaux,124,0.0,0,0.0,92.1,0.0,0,0,0.0,25,32,17,66,46
22335,22,Senven-Léhart,241,0.0,0,3.0,17.9,0.0,0,0,0.0,26,32,17,66,24
22337,22,Sévignac,1116,0.0,0,4.0,16.6,0.0,0,0,0.0,35,32,17,66,25
22338,22,Squiffiec,752,0.0,0,3.0,17.9,0.0,0,0,0.0,34,32,17,66,24
22339,22,Taden,2599,0.0,0,5.0,41.1,0.0,0,0,0.0,49,32,17,66,34
22340,22,Tonquédec,1201,0.0,0,2.0,19.9,0.0,0,0,0.0,36,32,17,66,23
22341,22,Tramain,700,0.0,0,4.0,25.5,0.0,0,0,0.0,26,32,17,66,28
22342,22,Trébédan,439,0.0,0,16.0,26.6,0.0,0,0,0.0,33,32,17,66,44
22343,22,Trébeurden,3821,0.0,0,7.0,33.9,0.0,0,0,0.0,118,90,101,66,35
22344,22,Trébrivan,763,0.0,0,6.0,92.1,0.0,0,0,0.0,31,32,17,66,54
22345,22,Trébry,822,0.0,0,0.0,15.4,0.0,0,0,0.0,35,32,17,66,19
22346,22,Trédaniel,896,0.0,0,3.0,24.3,0.0,0,0,0.0,33,32,17,66,26
22347,22,Trédarzec,1069,0.0,0,3.0,19.9,0.0,0,0,0.0,37,32,17,66,24
