departement,commune,code postal,adresse,nom,COG,validation,latitude,longitude,confidenceCoordinates
38,Le Pont-de-Beauvoisin,38480,"8, rue de L'Ancien Collège - 38480 LE PONT DE BEAUVOISIN",Mosquée,38315,exact_match,45.535589,5.672027,1
38,Le Pont-de-Claix,38800,1 Avenue Victor Hugo - 38800 LE PONT-DE-CLAIX,Mosquée Attawhid,38317,exact_match,45.1323487,5.6957346,1
38,Pont-Évêque,38780,"14, Plan des Aures - 38780 PONT EVEQUE",Mosquée,38318,exact_match,45.527091,4.92171,0.9
38,Roussillon,38150,"60, chemin des Ayencins - 38150 ROUSSILLON",Mosquée AL-Hidaya,38344,exact_match,45.3755129,4.8038397,1
38,Saint-Marcellin,38160,2bis Place du Souvenir Français - 38160 SAINT MARCELLIN,Mosquée Bilal,38416,exact_match,45.153953,5.323038,1
38,Saint-Marcellin,38160,Rue de Beauvoir - 38160 SAINT-MARCELLIN,Mosquée de Saint-Marcellin,38416,exact_match,45.1539164166789,5.32244785074265,1
38,Saint-Martin-d'Hères,38400,15 Rue Jean-Jacques Rousseau - 38400 SAINT-MARTIN-D'HÈRES,Mosquée El-Forkane,38421,exact_match,45.1843549,5.7630673,1
38,Saint-Martin-d'Hères,38400,23 Rue Edmond Rostand - 38400 SAINT-MARTIN-D'HÈRES,Mosquée Omar,38421,exact_match,45.1730208,5.7546642,0.75
38,Saint-Martin-d'Hères,38400,Université Stendhal 38400 Saint-Martin-d'Hères,Mosquée,38421,exact_match,45.1781457,5.76565066777598,0.5
38,Saint-Martin-le-Vinoux,38950,300 rue de la Maladiere - 38950 SAINT MARTIN LE VINOUX,Mosquée,38423,exact_match,45.219196,5.691111,1
38,Saint-Martin-le-Vinoux,38950,"236, chemin Fiancey - 38950 SAINT MARTIN LE VINOUX",Mosquée,38423,exact_match,45.219892,5.693018,1
38,Saint-Martin-le-Vinoux,38950,Avenue du Général Leclerc - 38950 SAINT-MARTIN-LE-VINOUX,Association culturelle franco-maghrébine,38423,exact_match,45.21385714346,5.69824933892312,1
38,Saint-Siméon-de-Bressieux,38870,58 route de la côte saint andré - 38870 SAINT SIMÉON DE BRESSIEUX,Mosquée As-Salam,38457,exact_match,45.329951,5.266606,0.9
38,Seyssinet-Pariset,38170,129 rue du progrés - 38170 SEYSSINET PARISET,Salle de prière du foyer,38485,exact_match,45.1736292,5.699447,1
38,Tignieu-Jameyzieu,38230,"24, rue Loyette - 38230 TIGNIEU JAMEYZIEU",Mosquée,38507,exact_match,45.734959,5.187852,0.25
38,La Tour-du-Pin,38110,"107 bis, rue d'Italie - 38110 LA TOUR DU PIN",Mosquée,38509,exact_match,45.561521,5.453157,1
38,La Tour-du-Pin,38110,"16, rue de l'Eglise - 38110 LA TOUR DU PIN",Mosquée,38509,exact_match,45.563731,5.448706,1
38,Tullins,38210,10 rue de la République - 38210 TULLINS,Mosquée de Tullins,38517,exact_match,45.2984742,5.4828436,1
38,Vienne,38200,"1, rue Lafayette - 38200 VIENNE",Mosquée,38544,exact_match,45.5249145,4.8884189,1
38,Vienne,38200,6 Rue du Port de l'Ecu - 38200 VIENNE,Mosquée Hamza Association Culturelle Islamique,38544,exact_match,45.528816,4.874349,1
38,Vienne,38200,41 Bis Rue du Serpaize 38200 Vienne,Mosquée,38544,exact_match,45.5589,4.92015,0.25
38,Villefontaine,38090,Chemin de l'Aimant - 38090 VILLEFONTAINE,Mosquée de l'unicité,38553,exact_match,45.6191496804217,5.15633485161471,1
38,Villette-d'Anthon,38280,"5, rue des Saules - 38280 VILLETTE D ANTHON",salle de prière,38557,exact_match,45.793750720104,5.10481556321961,0.5
38,Vizille,38220,Rue du Général de Gaulle - 38220 VIZILLE,Jeunesse et Culture Musulmane de Vizille,38562,exact_match,45.07965,5.774242,1
38,Voiron,38500,125 avenue Jean Jaures - 38500 VOIRON,Mosquée de Voiron,38563,exact_match,45.366291,5.582309,1
39,Champagnole,39300,Rue des Champs Sarrazins - 39300 CHAMPAGNOLE,Mosquée El Hijra,39097,exact_match,46.7340593654651,5.92256572775144,1
39,Champagnole,39300,13 Bis Place des Stands 39300 Champagnole,Mosquée EL-HIJRA,39097,exact_match,46.741957,5.912545,0.25
39,Dole,39100,"177, rue Chantal Jourdy - 39100 DOLE",Mosquée,39198,exact_match,47.075295,5.465165,1
39,Dole,39100,34 Rue du Mont Roland - 39100 DOLE,Mosquée Association Culturelle Islamique de Dôle,39198,exact_match,47.092598,5.4889106,1
39,Dole,39100,"26F, rue Maréchal Leclerc - 39100 DOLE",Mosquée,39198,exact_match,47.0761859,5.469488,0.855
39,Lons-le-Saunier,39000,Rue des Salines - 39000 LONS-LE-SAUNIER,Salle de prière Association Culturelle Maghrébine de Lons le Saunier,39300,exact_match,46.6731303642428,5.54499290395312,1
39,Lons-le-Saunier,39000,"14, Place Ancien Collège - 39000 LONS LE SAUNIER",Mosquée,39300,exact_match,46.675148,5.5566088,0.6075
39,Moirans-en-Montagne,39260,"49, rue du Jura - 39260 MOIRANS EN MONTAGNE",Mosquée,39333,exact_match,46.43047,5.727903,1
39,Morbier,39400,"56, rue de la République - 39400 MORBIER",Mosquée,39367,exact_match,46.525871,6.021599,1
39,Morez,39400,Chemin du Pré Vif - 39400 MOREZ,Mosquée Association Culturelle Maghrébine de Morez Bilal,39368,exact_match,46.5206803914947,6.01825432378306,1
39,Morez,39400,"15, rue d'Essarts - 39400 MOREZ",Mosquée,39368,exact_match,46.530428,6.018744,0.9
39,La Rixouse,39200,rue les Baraques - 39200 LA RIXOUSE,Mosquée,39460,exact_match,46.4519974,5.8638095,0.5
39,Saint-Claude,39200,"3 Bis, Chemin De La Coupe - 39200 SAINT-CLAUDE",Mosquée Centre culturel franco-maghrebin,39478,exact_match,46.388484,5.862716,1
39,Saint-Claude,39200,"15, rue des Etapes - 39200 SAINT-CLAUDE",Salle de prière Association du Centre Culturel Marocain,39478,exact_match,46.3848847,5.8619168,1
39,Saint-Claude,39200,"3, rue du Barrage - 39200 SAINT CLAUDE",Mosquée,39478,exact_match,46.3804986,5.8182752,1
39,Saint-Laurent-en-Grandvaux,39150,8 Salave de Bise - 39150 SAINT-LAURENT-EN-GRANDVAUX,Mosquée Association Culturelle Islamique El-Baraka,39487,exact_match,46.576877,5.94612,0.9
40,Dax,40100,"3, rue d'Aspremont - 40100 DAX",MosquéeD'ASPREMONT,40088,exact_match,43.7052005,-1.03787094420601,1
40,Labouheyre,40210,231 Rue de Maroutine - 40210 LABOUHEYRE,Mosqué Al-Noor,40134,exact_match,44.218234,-0.922082,1
40,Mont-de-Marsan,40000,"3, rue de l'Adjudant Jean Luxey - 40000 MONT DE MARSAN",MosquéeRAHMA,40192,exact_match,43.898834,-0.507133,0.9
