Type,Code,Français,Etrangers,Ensemble,Français de naissance,Français par acquisition,Portugais,Italiens,Espagnols,Autres nationalités de l'UE,Autres nationalités d'Europe,Algériens,Marocains,Tunisiens,Autres nationalités d'Afrique,Turcs,Autres nationalités
dept,61,265666,10479,276144,260352,5314,612,194,171,1222,1904,570,853,400,1524,1497,1532
dept,60,772867,57858,830725,736373,36494,8306,2207,1686,3799,2177,5866,7143,1694,14029,4260,6691
dept-,60,723825,50996,774819,690515,33310,7739,1786,1569,3570,2000,5114,6470,1470,11626,3696,5956
dept,59,2467313,149596,2616909,2383301,84012,8196,6770,3646,23257,4508,33145,25508,4809,21861,2705,15191
dept-,59,1951435,78763,2030192,1898588,52847,5198,4620,1976,17374,2621,14383,13601,2039,8538,1237,7176
dept,58,192976,9324,202299,188123,4853,950,193,149,2122,1019,391,841,212,1505,455,1487
dept,57,963384,87337,1050721,904366,59018,6530,10860,2324,20985,10741,9163,5826,1037,6438,6243,7190
dept-,57,859343,69682,929026,809128,50215,5873,9925,1858,19769,7765,7281,4425,674,2962,4878,4272
dept,56,753392,22712,776103,742920,10472,934,615,441,3573,4857,649,739,534,4783,2324,3263
dept-,56,648714,14231,662946,641148,7566,749,391,279,2930,4016,310,337,250,2449,827,1693
dept,55,174111,6635,180745,170100,4011,332,251,218,2852,529,280,309,72,734,509,549
dept,54,680558,52341,732898,649128,31430,8435,4293,1328,7633,4299,5925,4915,871,5642,2929,6071
dept-,54,586706,41806,628511,560486,26220,8001,3828,1111,6779,3163,4442,3426,662,3460,2820,4114
dept,53,294841,10596,305437,290550,4291,510,201,212,1225,2763,554,719,318,2851,129,1114
dept,52,164279,5587,169865,160765,3514,494,240,140,686,558,909,444,145,868,297,806
dept,51,534858,29249,564107,515994,18864,3421,887,812,1971,2528,3321,3075,778,6549,1470,4437
dept-,51,374600,11027,385629,365188,9412,2108,453,383,1050,1180,945,1006,269,1522,495,1616
dept,50,485458,11356,496815,480294,5164,332,178,218,1611,3890,431,509,233,1856,128,1970
dept-,50,410281,8505,418787,406441,3840,274,161,145,1408,3687,210,252,141,1056,45,1126
dept,49,798268,29882,828151,781499,16769,2000,908,909,3087,2444,1270,3064,1349,9306,1261,4284
dept-,49,605401,11119,616522,597215,8186,1341,330,368,2207,1380,422,786,328,1942,358,1657
dept,48,73064,3439,76503,71479,1585,1303,70,110,427,347,93,259,34,337,50,409
dept,47,307017,25210,332226,292960,14057,6135,850,1875,3011,4005,750,5585,218,1469,23,1289
dept,46,165846,9773,175620,160968,4878,1440,266,381,2652,2555,199,522,86,674,73,925
dept,45,630238,56826,687063,594562,35676,10638,1863,2502,2872,2371,3447,7473,1356,14716,4052,5536
dept-,45,532445,38274,570719,505879,26566,8675,1166,1452,2115,1415,2214,4611,929,8726,3563,3408
dept,44,1404053,69102,1473156,1370105,33948,3933,2225,1864,8837,4538,6516,4580,3456,20840,2802,9511
dept-,44,999498,24916,1024414,982962,16536,2343,771,751,5015,2083,1650,1220,1042,5867,1036,3138
dept,43,222173,5986,228161,217981,4192,1005,273,156,706,826,222,860,110,716,392,720
dept,42,716748,55292,772041,685401,31347,5101,3927,1180,3774,4790,12151,5533,3041,6701,4450,4644
dept-,42,571832,27641,599472,552730,19102,3807,2127,733,1674,2647,5356,1795,1567,2333,3549,2053
dept,41,311384,17568,328953,301801,9583,3168,363,574,1193,1070,1101,2352,409,3256,2182,1900
dept,40,411787,16640,428427,400842,10945,5897,448,2010,2527,1485,303,1079,166,1211,43,1471
dept,39,246555,11849,258405,238914,7641,2207,530,346,843,2016,910,1228,213,1040,1704,812
dept,38,1200498,90882,1291380,1132485,68013,11620,8883,3332,7926,6497,14643,5346,5156,11141,6412,9926
dept-,38,1067737,67255,1134991,1011050,56687,10712,6992,2603,6228,4541,10495,3853,3717,6478,5923,5713
dept,37,584882,31443,616326,565679,19203,4747,878,558,2325,2770,3536,2434,816,8318,483,4578
dept-,37,460246,17411,477658,447453,12793,3790,480,314,1737,1882,1680,1355,382,3281,360,2150
dept,36,208448,8359,216809,203687,4761,681,285,188,1225,1519,575,838,154,1440,156,1298
dept,35,1062567,46665,1109232,1039011,23556,2551,1389,1808,4978,3962,1976,4316,1221,12532,2536,9396
dept-,35,858925,22478,881402,844936,13989,1940,635,900,3720,2622,939,1578,650,4620,689,4185
dept,34,1121898,95433,1217331,1062787,59111,4120,4633,9367,11684,6962,9262,27555,1803,7677,2631,9739
dept-,34,791604,37812,829415,757827,33777,3105,2084,4402,7581,4109,2476,8115,515,1869,592,2964
dept,33,1568831,106151,1674980,1511773,57058,16590,3347,7606,13961,6524,7712,14230,2683,16190,4595,12713
dept-,33,1197827,67817,1265642,1157336,40491,13696,1962,5034,8745,4383,4229,10255,1554,7896,3429,6634
dept,32,180947,11704,192649,175105,5842,1798,339,1128,2490,3040,259,934,149,587,14,966
dept,31,1340479,115783,1456261,1266270,74209,10432,5519,9789,11918,7219,16282,13174,4951,17373,1988,17138
dept-,31,895239,49339,944577,852323,42916,7518,2461,4701,6426,4022,5594,5115,1483,5370,934,5715
dept,30,717662,46349,764010,683282,34380,3662,1629,4752,6382,3183,4928,13563,935,2618,756,3941
dept-,30,583919,29648,613566,560037,23882,2879,1167,3043,5469,2377,2858,7513,524,1072,618,2128
dept,29,902702,25210,927912,889505,13197,2212,415,711,4131,3587,1196,1695,899,5242,753,4369
dept-,29,709904,12483,722389,701824,8080,1162,269,318,3203,2600,294,329,240,1708,352,2008
dept,28,406518,26431,432950,390898,15620,4809,664,736,1794,982,2033,4398,1174,5632,1639,2570
dept,27,576662,24643,601305,560379,16283,3104,539,702,1760,1348,2157,2321,622,6731,2533,2826
dept,26,491792,29639,521432,471492,20300,2334,1457,1449,4067,2222,3854,4080,2234,3045,1828,3069
